Brazilian Portuguese,English
que,what
não,no
o,The
de,in
a,The
é,It is
você,you
e,It is
eu,I
um,one
para,for
está,it is
uma,one
se,if
com,with
por,per
ele,he
isso,that
em,in
do,of
me,me
mas,but
como,as
bem,good
da,from the
no,at the
os,you
ela,she
sim,Yes
aqui,here
mais,more
tem,he has
meu,my
seu,your
muito,very
foi,he was
as,to the
vai,go
sua,your
estou,I am
vamos,let's go
tudo,all
minha,my
só,only
então,then
pode,he can
agora,now
vou,I go
ser,to be
quando,when
fazer,to do
sei,know
eles,they
nós,us
tenho,I have
te,you
estava,he was
certo,right
quer,he wants
sabe,he knows
já,already
era,it was
nos,us
quem,who
ou,or
ao,to the
nada,anything
disse,he said
há,there is
lá,there
onde,where
quero,I want
bom,good
ter,to have
sou,I am
são,they are
dizer,to say
posso,I can
acho,I think
sobre,about
mim,me
porque,why
mesmo,same
coisa,thing
todos,all
estão,they are
algo,something
até,until
tempo,time
assim,like this
nunca,Never
vocês,you
esse,that
casa,House
quê,what
essa,that
à,The
ver,to see
também,also
pra,for
ainda,yet
tão,so
dos,of the
cara,face
favor,favor
ir,go
melhor,better
noite,night
sem,without
temos,we have
obrigado,thanks
dia,day
talvez,perhaps
pai,father
estamos,we are
esta,it is
deus,God
alguém,somebody
mãe,mother
vida,life
senhor,sir
este,This one
isto,this
sempre,ever
anos,years
vez,turn
verdade,true
seus,your
dele,from him
ficar,to stay
parece,looks
oh,Oh
claro,Of course
depois,after
tinha,he had
falar,to speak
coisas,things
antes,before
pessoas,people
pouco,little
pelo,for the
preciso,necessary
apenas,just
homem,man
deve,he must
nem,nor
boa,good
dois,two
fazendo,doing
todo,all
lugar,place
faz,he does
fez,he did
aí,there
fora,outside
estar,be
qual,which
disso,from that
trabalho,work
precisa,it needs
das,of
hoje,today
ninguém,nobody
novo,new
queria,I wanted
ei,Hey
comigo,with me
mundo,world
saber,to know
alguma,some
dar,to give
podemos,we can
grande,big
sinto,I feel
seja,it is
nossa,our
poderia,it could
dinheiro,money
suas,your
será,it will be
nome,name
quanto,how much
qualquer,any
pela,for the
outro,other
vá,go
lhe,him
dela,her
nosso,our
oi,hey
meus,my
desculpe,sorry
filho,son
